nodeID,nodetype,lat,lon
42723103,public transport,40.8521816,-73.7726765
42736282,public transport,40.8584149,-73.9038667
42840818,public transport,40.7095633,-73.8307965
42841012,public transport,40.668518,-73.7518434
42969559,public transport,40.6439626,-74.0734416
42969919,public transport,40.5513353,-74.151201
42969938,public transport,40.5444455,-74.1649012
42969951,public transport,40.540534,-74.1779041
42969964,public transport,40.5335447,-74.1919401
42969976,public transport,40.525526,-74.2000583
42970021,public transport,40.522491,-74.2175382
219709647,public transport,40.688089,-73.9668389
219726610,public transport,40.690635,-73.981824
219726617,public transport,40.6905128,-73.9849862
219817432,public transport,40.701397,-73.986751
260302471,public transport,40.7943793,-73.9719996
261434852,public transport,40.6559054,-73.6752222
261435822,public transport,40.6481684,-73.663821
274331441,public transport,40.7546149,-73.8456598
276018599,public transport,40.7524337,-73.8441172
276092543,public transport,40.7585195,-73.8298574
276233001,public transport,40.7461604,-73.9032853
276233212,public transport,40.7456359,-73.9030518
276319410,public transport,40.7415095,-73.9569751
276319527,public transport,40.7464555,-73.9454525
277046860,public transport,40.7446199,-73.9312304
277046861,public transport,40.7438431,-73.9244296
277046862,public transport,40.7431184,-73.9182509
277047076,public transport,40.744065,-73.949724
277671930,public transport,40.7631044,-73.7718991
277751536,public transport,40.6467488,-73.7888644
277752134,public transport,40.6482307,-73.7831883
277752210,public transport,40.6468134,-73.7798601
277752285,public transport,40.6439222,-73.7824099
277752293,public transport,40.6435616,-73.7893673
277752415,public transport,40.6597558,-73.8035383
277752592,public transport,40.6617903,-73.82463
277753014,public transport,40.6610254,-73.8295605
277957649,public transport,40.6817152,-73.837694
277957664,public transport,40.6859461,-73.8258664
279155458,public transport,40.746644,-73.891338
280989751,public transport,40.7491675,-73.8694786
280990284,public transport,40.7115203,-73.8895607
280990367,public transport,40.7062234,-73.8959256
280990453,public transport,40.7043972,-73.903074
280990845,public transport,40.7028171,-73.9076756
293829388,place of worship,40.7415018,-74.0375858
295870178,public transport,40.7194979,-74.0339995
295870180,public transport,40.7160215,-74.0341139
295870181,public transport,40.7128648,-74.0359523
295870188,public transport,40.7144578,-74.0432714
295870191,public transport,40.7103247,-74.0559652
296377486,fire,40.7369253,-74.0396118
296435424,place of worship,40.7424612,-74.0397834
296568074,restaurant,40.7385968,-74.0303486
296766360,place of worship,40.7510625,-74.034923
296766365,place of worship,40.7393674,-74.0407482
296926855,public transport,40.7318097,-74.0628655
297094803,pharmacy,40.7367009,-74.0308885
297385544,place of worship,40.7434979,-74.0389276
299177577,public transport,40.7453073,-74.1829578
299177579,public transport,40.7588303,-74.1848746
299738919,public transport,40.8666965,-74.1055612
299847526,public transport,40.9395539,-74.1214773
305499273,restaurant,40.7433179,-74.0285824
316542438,public transport,40.677316,-73.98311
320949338,bus,40.7574195,-73.9539143
324330986,public transport,40.7195942,-73.8448553
324334016,public transport,40.7101715,-73.7666684
324360750,public transport,40.7246435,-73.7062596
357544014,school,40.7951395,-73.699935
357544377,park,40.7645249,-73.650122
357544551,school,40.8304514,-73.9217456
357544577,school,40.7012239,-73.9445117
357544702,park,40.7953122,-73.7229603
357544940,beach,40.5264946,-74.164032
357545339,school,40.7356909,-73.8785433
357545552,beach,40.585938,-73.728743
357545993,park,40.8731554,-73.9140253
357548065,park,40.7139914,-73.7179091
357548361,school,40.732711,-73.9825978
357548368,school,40.7097874,-73.963484
357549372,school,40.6734364,-73.7087423
357549393,school,40.9054246,-73.7837156
357550025,school,40.6848253,-73.9479156
357551112,park,40.8978773,-73.8284673
357551778,school,40.6971081,-73.9116987
357552215,beach,40.6287153,-73.8868028
357553717,school,40.9595428,-73.8862464
357554497,park,40.9345432,-73.8870799
357554781,school,40.9037105,-73.8084667
357554855,school,40.9168689,-73.837797
357556060,school,40.7775029,-73.7341077
357556824,school,40.8178785,-73.9115255
357557431,beach,40.5837157,-73.7034646
357557722,school,40.6933246,-73.908228
357557743,school,40.960654,-73.8098555
357557918,school,40.9096786,-73.8355789
357557995,school,40.8235106,-73.8601863
357558393,school,40.9631538,-73.8779129
357558505,school,40.6495482,-73.9559714
357559473,school,40.8891988,-73.9069831
357559655,park,40.6714022,-73.6882212
357560064,school,40.61351,-74.0364565
357560477,school,40.66278,-73.70333
357561095,school,40.74528,-74.00472
357561540,school,40.6814693,-73.9495832
357561857,school,40.8103786,-73.9076366
357561914,school,40.6042714,-73.9401376
357562184,school,40.6646298,-73.7012811
357562187,school,40.7148249,-73.7351319
357562215,school,40.9053772,-73.8201337
357562455,park,40.548161,-74.1262534
357562874,school,40.9081549,-73.8420787
357563208,school,40.8998216,-73.834023
357563214,school,40.6838398,-73.9805745
357563307,park,40.6881489,-73.6606631
357563924,school,40.82028,-73.92556
357564028,school,40.6331597,-73.9887501
357564051,school,40.7187473,-73.8345869
357564143,park,40.8297609,-73.6565084
357564183,school,40.7181583,-73.7754107
357565028,school,40.6501038,-73.9537492
357565033,school,40.8176757,-73.8609622
357565063,school,40.7234356,-73.9540269
357565074,school,40.924142,-73.7912123
357565170,school,40.9189881,-73.7720767
357565235,school,40.7309577,-73.6891151
357565740,school,40.9531542,-73.7809658
357565790,beach,40.5204558,-74.1796629
357565940,park,40.8978773,-73.8187448
357565950,school,40.9170513,-73.809536
357566240,school,40.9252494,-73.7882666
357566248,school,40.9659905,-73.7879851
357567177,school,40.6895474,-73.9251373
357567191,school,40.8269911,-73.8294928
357567194,school,40.701056,-73.9274398
357567201,school,40.8567588,-73.8987482
357567217,school,40.8026009,-73.9437488
357567226,school,40.8251089,-73.8740885
357567249,school,40.6048269,-73.9951392
357567260,school,40.8173228,-73.9470821
